Form,M/F,B/D,House,Room/Bed,Rm Type,1,2,3,4,5,6,
3,M,B,MEMHSE,321A,Single,QUAN,TENNHS,HILL,LOGAN,,,
3,M,B,MEMHSE,216A,Single,TENNHS,LOGAN,HILL,CK,,,
3,M,B,MEMHSE,304A,Triple,HILL,,,,,,
3,M,B,MEMHSE,304A,Single,HILL,CK,SPENCR,,,,
3,M,B,MEMHSE,125A,Double,TENNHS,HILL,LOGAN,QUAN,,,
3,M,B,MEMHSE,215A,Single,TENNHS,HILL,CK,LOGAN,,,
3,M,B,MEMHSE,204A,Single,HILL,TENNHS,CK,SPENCR,,,
3,M,B,MEMHSE,302A,Double,TENNHS,LOGAN,CK,SPENCR,,,
3,M,B,MEMHSE,212A,Single,SPENCR,QUAN,TENNHS,HILL,,,
3,M,B,MEMHSE,306A,Double,LOGAN,TENNHS,QUAN,SPENCR,,,
3,M,B,MEMHSE,110A,Single,HILL,CK,SPENCR,TENNHS,,,
3,M,B,MEMHSE,320A,Double,TENNHS,HILL,LOGAN,CK,,,
3,M,B,MEMHSE,117A,Double,TENNHS,QUAN,SPENCR,LOGAN,,,
3,M,B,MEMHSE,119A,Double,QUAN,SPENCR,TENNHS,LOGAN,,,
3,M,B,MEMHSE,313A,Double,QUAN,SPENCR,TENNHS,LOGAN,,,
3,M,B,MEMHSE,125B,Double,TENNHS,QUAN,SPENCR,LOGAN,,,
3,M,B,MEMHSE,300A,Single,HILL,LOGAN,TENNHS,SPENCR,,,
3,M,B,MEMHSE,210B,Double,TENNHS,HILL,LOGAN,QUAN,,,
3,M,B,MEMHSE,306B,Double,TENNHS,LOGAN,HILL,QUAN,,,
3,M,B,MEMHSE,200A,Single,TENNHS,HILL,CK,LOGAN,,,
3,M,B,MEMHSE,320B,Single,HILL,LOGAN,SPENCR,CK,,,
3,M,B,MEMHSE,108A,Single,TENNHS,SPENCR,LOGAN,QUAN,,,
3,M,B,MEMHSE,108A,Double,QUAN,TENNHS,SPENCR,LOGAN,,,
3,M,B,MEMHSE,404B,Double,TENNHS,LOGAN,SPENCR,HILL,,,
3,M,B,MEMHSE,307A,Single,TENNHS,CK,HILL,LOGAN,,,
3,M,B,MEMHSE,216B,Single,LOGAN,TENNHS,HILL,CK,,,
3,M,B,MEMHSE,204B,Double,TENNHS,LOGAN,HILL,QUAN,,,
3,M,B,MEMHSE,108B,Double,LOGAN,TENNHS,QUAN,SPENCR,,,
3,M,B,MEMHSE,307B,Single,TENNHS,HILL,QUAN,SPENCR,,,
3,M,B,MEMHSE,307B,Double,TENNHS,HILL,LOGAN,CK,,,
3,M,B,MEMHSE,317A,Triple,HILL,,,,,,
3,M,B,MEMHSE,318B,Single,TENNHS,HILL,LOGAN,QUAN,,,
3,M,B,MEMHSE,119B,Double,SPENCR,TENNHS,QUAN,CK,,,
3,M,B,MEMHSE,211A,Single,HILL,TENNHS,CK,,,,
3,M,B,MEMHSE,215B,Double,HILL,TENNHS,CK,LOGAN,,,
3,M,B,MEMHSE,218A,Single,TENNHS,QUAN,LOGAN,SPENCR,,,
3,M,B,MEMHSE,321B,Double,TENNHS,LOGAN,SPENCR,HILL,,,
3,M,B,MEMHSE,403A,Triple,HILL,,,,,,
3,M,B,MEMHSE,311A,Single,QUAN,SPENCR,TENNHS,CK,,,
3,M,B,MEMHSE,317B,Single,HILL,TENNHS,SPENCR,QUAN,,,
3,M,B,MEMHSE,303B,Double,QUAN,SPENCR,TENNHS,LOGAN,,,
3,M,B,MEMHSE,302B,Double,TENNHS,LOGAN,CK,SPENCR,,,
3,M,B,MEMHSE,211B,Double,HILL,TENNHS,CK,LOGAN,,,
4,F,B,HALL,207A,Single,ARCH,WWING,BERNHS,LBRY,,,
4,F,B,HALL,207A,Double,ARCH,HALL,BERNHS,LBRY,WWING,MCCOOK,CHAPHS
4,F,B,ARCH,210A,Double,ARCH,HALL,WWING,LBRY,CHAPHS,BERNHS,MCCOOK
4,F,B,BERNHS,226A,Double,LBRY,HALL,WWING,ARCH,,,
